Paragraph,Polarity,Subjectivity
0,-0.010714285714285707,0.34404761904761905
1,0.1619047619047619,0.4011904761904762
2,0.03676470588235294,0.62140522875817
3,0.07210743801652893,0.47293388429752065
4,0.1921570616883117,0.5149283008658008
5,0.195,0.8550000000000001
6,0.0,0.0
7,0.05625,0.3333333333333333
8,0.12686237373737375,0.4685921717171717
9,-0.15000000000000002,0.7
10,0.0,0.0
11,0.11999999999999997,0.5502777777777778
12,0.1824074074074074,0.610185185185185
13,0.0,0.0
14,0.13636363636363635,0.45454545454545453
15,0.029166666666666674,0.2125
16,0.052976190476190475,0.3892857142857143
17,0.17500000000000002,0.4952380952380952
18,0.09198717948717948,0.542948717948718
19,-0.07752525252525254,0.3851010101010101
20,0.043750000000000004,0.6
21,0.09407738095238094,0.4110485347985347
22,0.0,0.3
23,0.04242424242424243,0.5893939393939394
24,0.14,0.4074358974358974
25,0.11008771929824564,0.41271929824561404
26,0.39,0.41500000000000004
27,-0.5,0.8
28,0.1,0.30000000000000004
29,0.0,0.0
30,0.15694444444444444,0.5797222222222221
31,0.17916666666666667,0.41011904761904766
32,0.06249999999999999,0.46041666666666664
33,-0.053030303030303025,0.2412878787878788
34,0.12083333333333335,0.525
35,0.05694444444444446,0.4597222222222222
36,0.027777777777777766,0.4222222222222223
37,0.1375,0.48333333333333334
38,0.349025974025974,0.5996753246753247
39,0.17857142857142858,0.40714285714285714
40,0.09257575757575759,0.5286796536796536
41,0.06607142857142857,0.42083333333333334
42,0.022105911330049254,0.3907224958949097
43,-0.5,0.5
44,0.3,0.39999999999999997
45,0.13645833333333335,0.41654761904761906
46,-0.1,0.3566666666666666
47,0.09999999999999999,0.39
48,0.1761904761904762,0.4476190476190476
49,0.07118055555555555,0.3652777777777778
50,0.07499999999999998,0.53125
51,0.1368421052631579,0.4342105263157895
52,0.2896103896103896,0.666883116883117
53,0.390625,0.578125
54,0.015277777777777779,0.5310185185185187
55,-0.0638095238095238,0.49976190476190474
56,0.14696969696969694,0.5409090909090909
57,0.08269230769230769,0.6038461538461539
58,0.025549450549450545,0.4782814407814407
59,0.18938492063492063,0.5497023809523809
60,0.021428571428571436,0.46884920634920635
61,0.04999999999999999,0.8500000000000001
62,0.22999999999999998,0.5317857142857143
63,0.05,0.7
64,0.08095238095238096,0.34853896103896104
65,0.2144444444444445,0.545
66,-0.12222222222222222,0.36180555555555555
67,-0.00396103896103896,0.16142857142857145
68,-0.075,0.34375
69,0.005681818181818177,0.4147727272727273
70,-0.25,1.0
71,0.0,0.0
72,-0.5625,0.75
73,0.4,0.7
74,0.016666666666666646,0.48333333333333334
75,-0.1,0.25
76,0.26666666666666666,0.3
77,-0.012499999999999997,0.3875
78,0.17808035714285714,0.5338392857142857
79,0.0,0.0
80,-0.06000000000000001,0.625
81,-0.125,0.3
82,-0.2514172335600907,0.6872165532879819
83,0.17857142857142858,0.5571428571428572
84,0.15166666666666667,0.5092592592592593
85,0.205,0.5183333333333333
86,0.07045454545454545,0.5378787878787878
87,0.039999999999999994,0.315
88,0.07543859649122808,0.4807017543859649
89,0.05978260869565218,0.5130434782608696
90,0.17757936507936511,0.41969246031746027
91,0.015710678210678217,0.496962481962482
92,0.0,0.0
93,0.15533854166666666,0.42578125
94,0.06525,0.4313928571428572
95,0.08333333333333333,0.4166666666666667
96,-0.003508771929824549,0.555701754385965
97,0.3,0.75
98,0.20520833333333333,0.6291666666666667
99,0.11539855072463769,0.5733695652173914
100,0.03250000000000001,0.2866666666666667
101,0.23854166666666668,0.5511904761904762
102,-0.09015151515151515,0.475
103,0.016666666666666666,0.3904761904761905
104,0.05064935064935065,0.45194805194805193
105,0.08134920634920634,0.3113095238095238
106,0.17285714285714288,0.5242857142857142
107,0.0,0.4
108,0.007142857142857145,0.20357142857142857
109,0.09999999999999999,0.6
110,0.2,0.30000000000000004
111,0.6,1.0
