Paragraph,Polarity,Subjectivity
0,0.5,0.8333333333333334
1,0.16785714285714287,0.6202380952380953
2,0.2,0.3
3,0.3875,0.5958333333333333
4,0.3373076923076923,0.6910256410256411
5,0.25,0.55
6,0.20555555555555555,0.612037037037037
7,0.125,0.4444444444444445
8,0.2626984126984127,0.5218253968253967
9,0.12,0.5316666666666666
10,0.08324175824175825,0.576007326007326
11,0.07083333333333335,0.46698717948717955
12,0.26666666666666666,0.65
13,0.125,0.32291666666666663
14,0.04895104895104895,0.6003496503496504
15,0.0,0.1
16,0.049999999999999996,0.625
17,0.2733333333333334,0.6666666666666666
18,0.6,1.0
19,0.2865079365079365,0.6492063492063491
20,0.09423076923076924,0.6474358974358976
21,0.27692307692307694,0.4788461538461538
22,0.15952380952380954,0.44484126984126976
23,0.225,0.49333333333333335
24,0.15833333333333333,0.4133333333333333
25,0.16898395721925133,0.5946524064171124
26,0.048928571428571446,0.4738095238095238
27,0.052777777777777785,0.4388888888888889
28,-0.004999999999999999,0.5703846153846154
29,0.051041666666666666,0.27211538461538465
30,0.12928571428571428,0.44976190476190475
31,0.0538548752834467,0.48276643990929713
32,0.11956521739130435,0.30362318840579705
33,0.31,0.6133333333333334
34,0.3833333333333333,0.7722222222222221
35,0.2314236111111111,0.4861607142857143
36,0.3029761904761905,0.575595238095238
37,0.31,0.6533333333333333
38,0.35,0.6157407407407408
39,0.3180555555555556,0.679722222222222
40,-0.016269841269841268,0.6391534391534391
41,0.1404166666666667,0.5525961538461538
42,0.2916666666666667,0.5777777777777778
43,0.3288318452380953,0.6712425595238094
44,0.2299107142857143,0.5875744047619047
45,0.19642857142857142,0.7678571428571429
46,0.4045918367346939,0.5188775510204082
47,0.14849896480331262,0.5952380952380952
48,0.08333333333333333,0.5296296296296297
49,0.176984126984127,0.5460317460317461
50,0.180995670995671,0.5787157287157287
51,0.425,0.7114583333333334
52,0.1703125,0.515625
53,0.22850274725274727,0.6572168216398986
54,0.5,0.6
55,0.0,0.0
56,0.15,0.7062499999999999
57,0.21911764705882353,0.5230392156862745
58,0.225,0.5488095238095239
59,0.2786931818181818,0.6112689393939394
60,0.2705988455988456,0.5811760461760461
61,0.26800595238095243,0.5860615079365079
62,0.30694444444444446,0.501388888888889
63,0.0,0.0
64,0.16166666666666668,0.3983333333333334
65,0.04097222222222221,0.4930555555555556
66,-0.04404761904761905,0.5714285714285714
67,0.18804945054945055,0.5223724992955764
68,0.0,0.0
69,0.12678571428571428,0.47619047619047616
70,0.31180555555555556,0.5895833333333333
71,0.2777777777777778,0.5689102564102564
72,0.06994047619047619,0.2936126373626374
73,0.13237179487179487,0.5415598290598291
74,0.10967532467532468,0.6132400932400933
75,0.304040404040404,0.6866161616161617
76,0.26000000000000006,0.5833333333333333
77,0.3014285714285715,0.5838095238095238
78,0.2642857142857143,0.6343537414965986
79,0.17115384615384616,0.6779914529914529
80,0.17796052631578949,0.6015350877192983
81,0.0588744588744589,0.5993506493506493
82,0.17727272727272725,0.7454545454545454
83,0.02575757575757576,0.6606060606060605
84,-0.06111111111111111,0.6606837606837607
85,0.18181818181818185,0.6106060606060606
86,0.3833333333333333,0.7722222222222223
87,-0.047619047619047616,0.5654761904761905
88,0.35714285714285715,0.5714285714285714
89,0.12893217893217895,0.45955821955821957
90,0.35714285714285715,0.5357142857142857
91,0.2,0.39999999999999997
92,0.10626721763085399,0.4565797838525112
93,0.1007305194805195,0.34312458374958377
94,0.0631628787878788,0.4237486471861472
95,0.225,0.5166666666666666
96,0.2482954545454545,0.6005681818181818
97,0.2917816558441558,0.4948525432900432
98,0.18113553113553119,0.5840252340252339
99,0.18725490196078431,0.5034313725490196
100,0.1331845238095238,0.5422619047619047
101,-0.030142857142857138,0.7077142857142859
102,0.22727272727272727,0.5893939393939394
103,0.04375,0.7145833333333332
104,0.12222222222222223,0.3819444444444444
105,0.55,0.9166666666666667
106,0.525,0.4
107,0.0,0.0
108,0.0,0.5
109,0.5,0.5
110,0.125,0.5750000000000001
111,-0.010833333333333328,0.4533333333333333
112,0.39999999999999997,0.7999999999999999
113,0.125,0.4916666666666667
114,0.225,0.32916666666666666
115,-0.16666666666666666,0.3333333333333333
116,0.15513305322128854,0.4935189075630252
117,0.18923076923076923,0.4025641025641025
118,0.24,0.6666666666666667
119,-0.055555555555555546,0.6111111111111112
120,-0.3,0.4
121,0.24583333333333335,0.4902777777777778
122,0.018750000000000003,0.41875
123,0.3125,0.6541666666666667
124,0.0,0.16666666666666666
125,0.01130952380952381,0.5833333333333331
126,0.5725,0.77
127,0.3,0.6111111111111112
128,0.075,0.39305555555555555
129,0.325,0.605952380952381
130,0.48333333333333334,0.5555555555555556
131,0.0,0.0
132,0.12000000000000002,0.36666666666666664
133,-0.20138888888888887,0.5680555555555556
134,0.5,0.8333333333333334
135,0.15654761904761902,0.5613095238095237
136,0.2692982456140351,0.527046783625731
